circleRadius	direction	n	RT_mean	RT_raw										RT_std	choice_mean	choice_raw										choice_std	dummy_mean	dummy_raw										dummy_std	probeInitialRadius_mean	probeInitialRadius_raw										probeInitialRadius_std	respError_raw										responseRadius_raw										order									
3	-1	1.0	0.8306822776794434	0.8306822776794434	 	 	 	 	 	 	 	 	 	0.0	1.0	1.0	 	 	 	 	 	 	 	 	 	0.0	0.8306822776794434	0.8306822776794434	 	 	 	 	 	 	 	 	 	0.0	21.385278701782227	21.385278701782227	 	 	 	 	 	 	 	 	 	0.0	15.38527845050254	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	18.38527845050254	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	0.0	 	 	 	 	 	 	 	 	 
3	1	0.0			 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
8	-1	0.0			 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
8	1	1.0	0.6689462661743164	0.6689462661743164	 	 	 	 	 	 	 	 	 	0.0	0.0	0.0	 	 	 	 	 	 	 	 	 	0.0	0.6689462661743164	0.6689462661743164	 	 	 	 	 	 	 	 	 	0.0	4.156853199005127	4.156853199005127	 	 	 	 	 	 	 	 	 	0.0	-5.843146816297557	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	2.1568531837024434	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	1.0	 	 	 	 	 	 	 	 	 
13	-1	0.0			 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
13	1	0.0			 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
18	-1	1.0	0.6938449740409851	0.6938449740409851	 	 	 	 	 	 	 	 	 	0.0	1.0	1.0	 	 	 	 	 	 	 	 	 	0.0	0.6938449740409851	0.6938449740409851	 	 	 	 	 	 	 	 	 	0.0	13.898012161254883	13.898012161254883	 	 	 	 	 	 	 	 	 	0.0	-4.101987658329962	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	array(13.89801234)	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	2.0	 	 	 	 	 	 	 	 	 
18	1	0.0			 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 				 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 

extraInfo
participant	Nobody
session	001
