circleRadius	direction	n	probeInitialRadius_mean	probeInitialRadius_raw										probeInitialRadius_std	respError_raw										respTime_raw										responseRadius_raw										order									
3	-1	1.0	9.867003440856934	9.867003440856934	 	 	 	 	 	 	 	 	 	0.0	6.867002969637882	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	0.06307941593695432	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	array(9.86700297)	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	2.0	 	 	 	 	 	 	 	 	 
3	1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
8	-1	1.0	12.682356834411621	12.682356834411621	 	 	 	 	 	 	 	 	 	0.0	'-2.99'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	28.358178917085752	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'5.01'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	0.0	 	 	 	 	 	 	 	 	 
8	1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
13	-1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
13	1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
18	-1	1.0	5.616286754608154	5.616286754608154	 	 	 	 	 	 	 	 	 	0.0	-7.383713281585587	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	9.302244334015995	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	10.616286718414413	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	1.0	 	 	 	 	 	 	 	 	 
18	1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 

extraInfo
participant	Nobody
session	001
