circleRadius	direction	RT_raw										probeInitialRadius_mean	probeInitialRadius_raw										probeInitialRadius_std	respError_raw										responseRadius_raw										order									
3	-1	4.164662000024691	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	6.083913326263428	6.083913326263428	 	 	 	 	 	 	 	 	 	0.0	7.083913231475078	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	10.083913231475078	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	0.0	 	 	 	 	 	 	 	 	 
3	1	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
8	-1	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
8	1	10.160086791962385	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	10.247945785522461	10.247945785522461	 	 	 	 	 	 	 	 	 	0.0	44	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	52	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	5.0	 	 	 	 	 	 	 	 	 
13	-1	19.282388625084423	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	8.4612455368042	8.4612455368042	 	 	 	 	 	 	 	 	 	0.0	-3.5387542375714265	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	9.461245762428574	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	2.0	 	 	 	 	 	 	 	 	 
13	1	1.4792034170823172	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	11.95206356048584	11.95206356048584	 	 	 	 	 	 	 	 	 	0.0	2.9520634452723176	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	15.952063445272318	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	1.0	 	 	 	 	 	 	 	 	 
18	-1	1.6155612090369686	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	15.423847198486328	15.423847198486328	 	 	 	 	 	 	 	 	 	0.0	-6.576153189826904	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	11.423846810173096	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	4.0	 	 	 	 	 	 	 	 	 
18	1	0.8820314579643309	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	18.493764877319336	18.493764877319336	 	 	 	 	 	 	 	 	 	0.0	3.493764514013506	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	21.493764514013506	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	3.0	 	 	 	 	 	 	 	 	 

extraInfo
participant	Nobody
session	001
﻿circleRadius	direction	probeInitialRadius_mean	probeInitialRadius_raw										probeInitialRadius_std	respError_raw										respTime_raw										responseRadius_raw										order									
