circleRadius	direction	RT_raw										probeInitialRadius_mean	probeInitialRadius_raw										probeInitialRadius_std	respError_raw										responseRadius_raw										order									
3	-1	4.164662000024691	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	6.083913326263428	6.083913326263428	 	 	 	 	 	 	 	 	 	0.0	7.083913231475078	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	10.083913231475078	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	0.0	 	 	 	 	 	 	 	 	 
3	-1	9.867003440856934	9.867003440856934	 	 	 	 	 	 	 	 	 	0.0	6.867002969637882	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	0.06307941593695432	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	array(9.86700297)	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	2.0	 	 	 	 	 	 	 	 	 
3	1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
8	-1	12.682356834411621	12.682356834411621	 	 	 	 	 	 	 	 	 	0.0	'-2.99'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	28.358178917085752	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'5.01'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	0.0	 	 	 	 	 	 	 	 	 
8	1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
13	-1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
13	1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
18	-1	5.616286754608154	5.616286754608154	 	 	 	 	 	 	 	 	 	0.0	-7.383713281585587	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	9.302244334015995	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	10.616286718414413	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	1.0	 	 	 	 	 	 	 	 	 
18	1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 

extraInfo
participant	Nobody
session	001
﻿circleRadius	direction	probeInitialRadius_mean	probeInitialRadius_raw										probeInitialRadius_std	respError_raw										respTime_raw										responseRadius_raw										order									
3	-1	16.836952209472656	16.836952209472656	 	 	 	 	 	 	 	 	 	0.0	6.836951378584903	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	12.185848916997202	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	9.836951378584903	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	1.0	 	 	 	 	 	 	 	 	 
3	1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
8	-1	11.833263397216797	11.833263397216797	 	 	 	 	 	 	 	 	 	0.0	-2.166736785456205	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	5.475110207917169	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	5.833263214543795	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	0.0	 	 	 	 	 	 	 	 	 
8	1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
13	-1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
13	1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
18	-1			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
18	1	12.0637788772583	12.0637788772583	 	 	 	 	 	 	 	 	 	0.0	-9.936221526922585	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	11.144835832994431	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	8.063778473077415	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	2.0	 	 	 	 	 	 	 	 	 

extraInfo
participant	Nobody
session	001
